Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q8159,Paul Bocuse,French chef,Male,France,1926,2018,natural causes,92
Q8440,Hugo Chávez,president of Venezuela (1999-2013),Male,Venezuela,1954,2013,natural causes,59
Q8446,Kurt Cobain,"American singer, musician, and composer",Male,United States,1967,1994,suicide,27
Q8556,Edsger W. Dijkstra,Dutch computer scientist,Male,Netherlands,1930,2002,natural causes,72
Q8619,Pierre Trudeau,15th Prime Minister of Canada (1919-2000),Male,Canada,1919,2000,natural causes,81
Q8620,Kwame Nkrumah,Ghanaian pan-africanist and the first Prime Minister and President of Ghana (1909-1972),Male,Ghana,1909,1972,natural causes,63
Q8704,Walt Disney,American film producer and businessman (1901-1966),Male,United States,1901,1966,natural causes,65
Q8753,Enrico Fermi,Italian physicist,Male,United States,1901,1954,natural causes,53
Q9364,Jean-Paul Sartre,"French existentialist philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic",Male,France,1905,1980,natural causes,75
Q9486,Graham Taylor,English association football player and manager (1944-2017),Male,United Kingdom,1944,2017,natural causes,73
Q9513,A. P. J. Abdul Kalam,"11th President of India, scientist and science administrator (1931-2015)",Male,India,1931,2015,natural causes,84
Q9582,Gerald Ford,"American politician, 38th President of the United States (in office from 1974 to 1977)",Male,United States,1913,2006,natural causes,93
Q9588,Richard Nixon,37th President of the United States (1913-1994),Male,United States,1913,1994,natural causes,81
Q9640,Lyndon B. Johnson,36th president of the United States (1908-1973),Male,United States,1908,1973,natural causes,65
Q9685,"Diana, Princess of Wales","first wife of Charles, Prince of Wales (1961-1997)",Female,United Kingdom,1961,1997,accident,36
Q9696,John F. Kennedy,35th president of the United States (1917-1963),Male,United States,1917,1963,homicide,46
Q9960,Ronald Reagan,40th president of the United States and actor,Male,United States,1911,2004,natural causes,93
Q10390,John McCain,American politician (1936-2018),Male,United States,1936,2018,natural causes,82
Q10411,Odd Børretzen,Norwegian author illustrator translator and singer songwriter (1926-2012),Male,Norway,1926,2012,natural causes,86
Q10490,Ayrton Senna,Brazilian racing driver,Male,Brazil,1960,1994,accident,34
Q10665,Kim Jong-il,General-Secretary of the Workers' Party of Korea (1941-2011),Male,North Korea,1941,2011,natural causes,70
Q10678,Yann-Fañch Kemener,traditional singer,Male,France,1957,2019,natural causes,62
Q10707,Robert Mugabe,2nd President of Zimbabwe (1924-2019),Male,Zimbabwe,1924,2019,natural causes,95
Q10953,Henriette Avram,American computer programmer and system analyst,Female,United States,1919,2006,natural causes,87
Q11093,Valerie Solanas,American radical feminist and author,Female,United States,1936,1988,natural causes,52
Q11156,Antonin Scalia,former Associate Justice of the Supreme Court of the United States,Male,United States,1936,2016,natural causes,80
Q11237,Nelson Rockefeller,American politician (1908-1979),Male,United States,1908,1979,natural causes,71
Q11270,Fulgencio Batista,Cuban politician,Male,Cuba,1901,1973,suicide; natural causes,72
Q11428,Jean Bartik,American ENIAC computer programmer,Female,United States,1924,2011,natural causes,87
Q11440,Danielle Bunten Berry,American game designer and programmer,Transgender Female,United States,1949,1998,natural causes,49
Q11483,Anita Borg,American computer scientist,Female,United States,1949,2003,natural causes,54
Q11617,Aaliyah,"American singer, actress and model (1979-2001)",Female,United States,1979,2001,accident,22
Q11637,Judy Garland,"American actress, singer and vaudevillian (1922-1969)",Female,United States,1922,1969,accident,47
Q11672,"Carroll A. Campbell, Jr.",112th Governor of South Carolina (1940-2005),Male,United States,1940,2005,natural causes,65
Q11715,Leopold Figl,"Austrian politician, minister, chancellor",Male,Austria,1902,1965,natural causes,63
Q11877,Ivory Joe Hunter,"American rhythm and blues singer, songwriter, and pianist",Male,United States,1914,1974,natural causes,60
Q11941,Carl Barks,American Disney comics creator (1901-2000),Male,United States,1901,2000,natural causes,99
Q12109,Roberto Raviola,Italian comics book artist,Male,Italy,1939,1996,natural causes,57
Q12113,Hugo Pratt,Italian comics book creator,Male,Italy,1927,1995,natural causes,68
Q12614,Ivo Lapenna,law professor from Yugoslavia,Male,United Kingdom,1909,1987,natural causes,78
Q12747,Lance Tingay,"British sports journalist and writer, member of the International Tennis Hall of Fame",Male,United Kingdom,1915,1990,natural causes,75
Q12780,Rashad Khalifa,Egyptian-American biochemist,Male,United States,1935,1990,homicide,55
Q12807,Umberto Eco,"Italian semiotician, essayist, philosopher, literary critic, and novelist",Male,Italy,1932,2016,natural causes,84
Q12878,Tron Øgrim,"Norwegian journalist, author and politician (1947-2007)",Male,Norway,1947,2007,natural causes,60
Q12903,Hisashi Inoue,Japanese playwright,Male,Japan,1934,2010,natural causes,76
Q12915,Amata Kabua,former President of the Marshall Islands (1928-1996),Male,Marshall Islands,1928,1996,natural causes,68
Q12940,Jacques Chaban-Delmas,82nd Prime Minister of France (1915-2000),Male,France,1915,2000,natural causes,85
Q12946,Michel Rocard,French politician (1930-2016),Male,France,1930,2016,natural causes,86
Q12957,Raymond Barre,85th Prime Minister of France (1924-2007),Male,France,1924,2007,natural causes,83
Q12976,Baudouin I of Belgium,Fifth King of the Belgians,Male,Belgium,1930,1993,natural causes,63
Q13407,Willem Duys,"Dutch radio and television presenter, commentator, tennis player and music producer",Male,Netherlands,1928,2011,natural causes,83
Q13484,Laurent Fignon,French professional road bicycle racer,Male,France,1960,2010,natural causes,50
Q13888,Luchino Visconti,"Italian theatre, opera and cinema director",Male,Italy,1906,1976,natural causes,70
Q14039,German Goldenshteyn,Moldovian musician,Male,United States,1934,2006,natural causes,72
Q14100,Klara Dan von Neumann,Hungarian computer scientist,Female,Hungary,1911,1963,suicide,52
Q14254,Karen Spärck Jones,British computer scientist,Female,United Kingdom,1935,2007,natural causes,72
Q14341,Cozy Powell,English rock drummer,Male,United Kingdom,1947,1998,accident,51
Q14345,Roh Moo-hyun,9th President of the Republic of Korea (1946-2009),Male,South Korea,1946,2009,suicide,63
Q14356,Park Chung-hee,Korean Army general and the leader of South Korea from 1961 to 1979,Male,South Korea,1917,1979,homicide,62
Q14541,Terry Callier,"American jazz, soul and folk guitarist and singer songwriter",Male,United States,1945,2012,natural causes,67
Q14837,Louis Leakey,British archaeologist and naturalist whose work was important in establishing human evolutionary development in Africa,Male,Kenya,1903,1972,natural causes,69
Q14972,Bill Raisch,American dancer and actor,Male,United States,1905,1984,natural causes,79
Q15056,Jean-Luc Dehaene,Belgian former prime minister (1940-2014),Male,Belgium,1940,2014,natural causes,74
Q15451,W. D. Hamilton,British evolutionary biologist (1936-2000),Male,United Kingdom,1936,2000,natural causes,64
Q15866,Curtis LeMay,American general and politician,Male,United States,1906,1990,natural causes,84
Q15869,Freddie Mercury,"British singer, songwriter, record producer and graphic designer (1946-1991)",Male,United Kingdom,1946,1991,natural causes,45
Q15897,Amy Winehouse,English singer and songwriter,Female,United Kingdom,1983,2011,accident,28
Q15969,Jean Améry,Austrian-born essayist and Holocaust survivor (1912-1978),Male,Austria,1912,1978,suicide,66
Q15988,"Grand Duke Jean I, Grand Duke of Luxembourg",Monarch of Luxembourg,Male,Luxembourg,1921,2019,natural causes,98
Q16345,Leonard Nimoy,"American actor, film director, poet, musician and photographer (1931-2015)",Male,United States,1931,2015,natural causes,84
Q16349,DeForest Kelley,American actor (1920-1999),Male,United States,1920,1999,natural causes,79
Q16389,Charles K. Kao,Hong Kong-British-American physicist,Male,United States,1933,2018,natural causes,85
Q16472,Robert Mitchum,"American film actor, author, composer and singer (1917-1997)",Male,United States,1917,1997,natural causes,80
Q16493,Beatrice Helen Worsley,First female computer scientist in Canada,Female,Canada,1922,1972,natural causes,50
Q16849,Matti Nykänen,Finnish ski jumper (1963-2019),Male,Finland,1963,2019,natural causes,56
Q16873,Juan Carlos Onetti,Uruguayan novelist,Male,Uruguay,1909,1994,natural causes,85
Q16977,Deng Xiaoping,"Chinese politician, paramount leader of the China from 1978 until his retirement in 1992",Male,China,1904,1997,natural causes,93
Q17141,Harvey Milk,American politician who became a martyr in the gay community (1930-1978),Male,United States,1930,1978,homicide,48
Q17163,Johan Cruyff,"Dutch association football player, then coach (1947-2016)",Male,Netherlands,1947,2016,natural causes,69
Q17455,John von Neumann,Hungarian-American mathematician and polymath,Male,Hungary,1903,1957,natural causes,54
Q17520,Kathleen Antonelli,Irish computer programmer,Female,Irelands,1921,2006,natural causes,85
Q17579,Tsutomu Yamaguchi,Japanese national survivor,Male,Japan,1916,2010,natural causes,94
Q18066,Eduard Uspensky,Russian writer,Male,Russia,1937,2018,natural causes,81
Q18227,Forrest J Ackerman,American collector of science fiction books and movie memorabilia (1916-2008),Male,United States,1916,2008,natural causes,92
Q18301,Li Peng,former Premier of the China (1928-2019),Male,China,1928,2019,natural causes,91
Q19063,Pál Turán,Hungarian mathematician,Male,Hungary,1910,1976,natural causes,66
Q19152,Szeto Wah,Hong Kong politician and teacher (1931-2011),Male,China,1931,2011,natural causes,80
Q19198,Chester Bennington,American singer songwriter,Male,United States,1976,2017,suicide,41
Q19837,Steve Jobs,American entrepreneur and co-founder of Apple Inc.,Male,United States,1955,2011,natural causes,56
Q19878,Muammar Gaddafi,"Libyan revolutionary, politician and political theorist (1942-2011)",Male,Libya,1942,2011,homicide,69
Q20021,Antonina Makarova,executioner and war criminal,Female,Russia,1920,1979,unnatural death,59
Q21209,Claus Schenk Graf von Stauffenberg,German army officer and aristocrat,Male,Germany,1907,1944,capital punishment,37
Q22677,Michael S. Hart,"American author, founder of Project Gutenberg",Male,United States,1947,2011,natural causes,64
Q23357,Abraham Maslow,American psychologist,Male,United States,1908,1970,natural causes,62
Q23386,John McEwen,"Australian politician, 18th Prime Minister of Australia (1900-1980)",Male,Australia,1900,1980,suicide,80
Q23412,Roy Raymond,"American businessman, founder of Victoria's Secret",Male,United States,1947,1993,suicide,46
Q23481,Friedrich Dürrenmatt,Swiss author and dramatist (1921-1990),Male,Switzerland,1921,1990,natural causes,69
Q23505,George H. W. Bush,41st president of the United States (1924-2018),Male,United States,1924,2018,natural causes,94
Q23543,Selena Quintanilla,"American singer, songwriter, actress, and fashion designer (1971-1995)",Female,United States,1971,1995,homicide,24
Q23842,Jean Gabin,"French actor, recording artist",Male,France,1904,1976,natural causes,72
Q23884,Lou Costello,American actor and comedian,Male,United States,1906,1959,natural causes,53
Q23943,Rod Hundley,American professional basketball player and television broadcaster,Male,United States,1934,2015,natural causes,81
Q23945,Ana Cristina Cesar,Brazilian poet and translator,Female,Brazil,1952,1983,suicide,31
Q23953,Maria Bard,German actress,Female,Germany,1900,1944,suicide,44
Q24043,Alan Nunnelee,U.S. Representative (1958-2015),Male,United States,1958,2015,natural causes,57
Q24051,Gloria Dickson,American stage and screen actress,Female,United States,1917,1945,accident,28
Q24078,La Jana,Austro-German dancer and actress,Female,Germany,1905,1940,natural causes,35
Q24261,Jack Ritchie,American writer,Male,United States,1922,1983,natural causes,61
Q24829,Orson Welles,"American actor, director, writer and producer",Male,United States,1915,1985,natural causes,70
Q24842,Ulla Jacobsson,Swedish actress (1929-1982),Female,Sweden,1929,1982,natural causes,53
Q24881,Laura Soveral,Portuguese actress,Female,Portugal,1933,2018,natural causes,85
Q24962,Graham Chapman,"English comedian, writer and actor (1941-1989)",Male,United Kingdom,1941,1989,natural causes,48
Q25080,Ilya Oleynikov,Russian comic actor and television personality,Male,Russia,1947,2012,natural causes,65
Q25106,Fabrizio De André,Italian recording artist singer songwriter,Male,Italy,1940,1999,natural causes,59
Q25120,Pier Paolo Pasolini,"Italian film director, poet, writer and intellectual",Male,Italy,1922,1975,homicide,53
Q25161,Roald Dahl,"Mostly Norwegian but a little bit British novelist, short story writer, poet, fighter pilot, and screenwriter",Male,United Kingdom,1916,1990,natural causes,74
Q25310,Robert F. Kennedy,American politician and brother of John F. Kennedy (1925-1968),Male,United States,1925,1968,homicide,43
Q25593,Ulrich Kiesow,game creator,Male,Germany,1949,1997,natural causes,48
Q25649,Saul Alinsky,American community organizer and writer,Male,United States,1909,1972,natural causes,63
Q25871,Michael Wilson,screenwriter (1914-1978),Male,United States,1914,1978,natural causes,64
Q25981,Michael J. Smith,American astronaut,Male,United States,1945,1986,accident,41
Q26047,Leonid Kmit,Russian actor (1908-1982),Male,Russia,1908,1982,natural causes,74
Q26062,Robert Bolt,English playwright (1924–1995),Male,United Kingdom,1924,1995,natural causes,71
Q26099,Chris Wood,British rock musician; member of the English rock band Traffic,Male,United Kingdom,1944,1983,natural causes,39
Q26118,Jack Hawkins,British actor who worked on stage and in film from the 1930s until the 1970s,Male,United Kingdom,1910,1973,natural causes,63
Q26208,Carlo Lizzani,"Italian film director, screenwriter and critic",Male,Italy,1922,2013,suicide,91
Q26566,Stanford R. Ovshinsky,prolific American inventor and scientist,Male,United States,1922,2012,natural causes,90
Q26848,Leon Allen White,American professional wrestler (1955-2018),Male,United States,1955,2018,natural causes,63
Q26852,Roger Pierre,French comedic actor,Male,France,1923,2010,natural causes,87
Q27351,Senkichi Taniguchi,Japanese film director and screenwriter,Male,Japan,1912,2007,natural causes,95
Q27363,Tatsuo Shimabuku,founder of Isshin-ryū,Male,Japan,1908,1975,natural causes,67
Q27743,Lonnie Donegan,Scottish-born skiffle musician,Male,United Kingdom,1931,2002,natural causes,71
Q27826,Zhang Yang,Chinese general of the People's Liberation Army (1951-2017),Male,China,1951,2017,suicide,66
Q28085,Adolf Eichmann,German-Austrian SS officer and one of the major organizers of the Holocaust (1906-1962),Male,Austria,1906,1962,capital punishment,56
Q28189,Abdus Salam,theoretical physicist and Nobel Prize in Physics recipient,Male,Pakistan,1926,1996,natural causes,70
Q28517,Todor Zhivkov,communist-head of state of the People's Republic of Bulgaria (1911-1998),Male,Bulgaria,1911,1998,natural causes,87
Q28740,Ian Porterfield,British footballer (1946-2007),Male,United Kingdom,1946,2007,natural causes,61
Q29092,Desmond Llewelyn,Welsh actor (1914-1999),Male,United Kingdom,1914,1999,accident,85
Q29365,Mutsuko Miki,Japanese activist,Female,Japan,1917,2012,natural causes,95
Q29544,Delia Derbyshire,English musician and composer of electronic music,Female,United Kingdom,1937,2001,natural causes,64
Q29604,Yinka Dare,Nigerian basketball player,Male,Nigeria,1972,2004,natural causes,32
Q29621,J. Neil Schulman,American novelist,Male,United States,1953,2019,natural causes,66
Q30587,Stan Getz,American jazz saxophonist,Male,United States,1927,1991,natural causes,64
Q31073,Walter Cronkite,American broadcast journalist,Male,United States,1916,2009,natural causes,93
Q31083,Wilma Rudolph,African American athlete,Female,United States,1940,1994,natural causes,54
Q31221,Evelyn Brent,stage and film actress from the United States,Female,United States,1901,1975,natural causes,74
Q31225,Mark Robson,"film director, producer, and editor from Canada",Male,Canada,1913,1978,natural causes,65
Q31442,Emiliano Sala,Argentine association football player (1990-2019),Male,Argentina,1990,2019,accident,29
Q31481,Pierre Barouh,French writer composer singer,Male,France,1934,2016,natural causes,82
Q31737,Yi Chong-jun,South Korean writer,Male,South Korea,1939,2008,natural causes,69
Q32258,James Joseph Dresnok,American defector to North Korea,Male,United States,1941,2016,natural causes,75
Q32337,Lita Grey,American actress (1908-1995),Female,United States,1908,1995,natural causes,87
Q32749,Choi Yo-sam,South Korean boxer,Male,South Korea,1973,2008,accident,35
Q32923,Rituparno Ghosh,"Indian film director, actor, writer and lyricist",Male,India,1963,2013,natural causes,50
Q33637,Marcel Reich-Ranicki,Polish-born German literary critic,Male,Poland,1920,2013,natural causes,93
Q33817,Edmund Hillary,New Zealand mountaineer,Male,New Zealand,1919,2008,natural causes,89
Q34012,Marlon Brando,"American actor, film director, and activist (1924-2004)",Male,United States,1924,2004,natural causes,80
Q34060,Yitzhak Rabin,"Israeli politician, statesman and general (1922-1995)",Male,Israel,1922,1995,homicide,73
Q34189,Pablo Neruda,"Chilean poet, diplomat, politician (1904-1973)",Male,Chile,1904,1973,natural causes,69
Q34389,Whitney Houston,"American singer, actress, model, and record producer (1963-2012)",Female,United States,1963,2012,accident,49
Q34453,Boris Yeltsin," and Russian politician, 1st President of Russia (1931-2007)",Male,Russia,1931,2007,natural causes,76
Q34474,Aleksandr Solzhenitsyn,Russian writer,Male,Russia,1918,2008,natural causes,90
Q34479,Hirohito,Emperor of Japan from 1926 to 1989,Male,Japan,1901,1989,natural causes,88
Q34670,Albert Camus,Algerian-French author and journalist (1913-1960),Male,France,1913,1960,accident,47
Q34851,Elizabeth Taylor,British-American actress businessperson and humanitarian,Female,United States,1932,2011,natural causes,79
Q34933,Eric Hobsbawm,British academic historian and Marxist historiographer,Male,United Kingdom,1917,2012,natural causes,95
Q34981,Isaac Asimov,American writer and professor,Male,United States,1920,1992,natural causes,72
Q35851,Bill Hicks,American comedian,Male,United States,1961,1994,natural causes,33
Q35892,Petar Drapšin,yugoslav Partisan commander,Male,Yugoslavia,1914,1945,accident,31
Q36105,Charles Bronson,American film and television actor (1921-2003),Male,United States,1921,2003,natural causes,82
Q36107,Muhammad Ali,"American boxer, philanthropist and activist",Male,United States,1942,2016,natural causes,74
Q36111,Mate Boban,Bosnian Croat politician (1940-1997),Male,Bosnia and Herzegovina,1940,1997,natural causes,57
Q36232,Angela Devi,American adult model,Female,United States,1975,2006,suicide,31
Q36233,Václav Havel,"playwright, essayist, poet, former dissident and 1st President of the Czech Republic (1936-2011)",Male,Czech Republic,1936,2011,natural causes,75
Q36245,Roger Boisjoly,American aerospace engineer,Male,United States,1938,2012,natural causes,74
Q36789,Henry Lee Lucas,American serial killer,Male,United States,1936,2001,natural causes,65
